Model,CPU,CPU specifications,GPU,Storage capacity,Removable storage,RAM,OS,Custom launcher,Dimensions,Weight,Battery,Recharge power,Display,Camera,Fingerprint scanner,Facial recognition
Huawei Mate 30,HiSilicon Kirin 990,Octa-core2.86 GHz (2x2.86 GHz Cortex-A76 + 2x2.09 GHz or 2x2.36 GHz (5G) Cortex-A76 + 4x1.86 GHz or 2x1.95 GHz (5G) Cortex-A55),Mali-G76 MP16,128 GB,up to 256 GB,6/8 GB,Android 10,EMUI 10,160.8 x 76.1 x 8.4 mm,196g,4200 mAh,USB-C 40WWireless 27W,6.6" 2340x1080 OLED,Triple 40 MP + 16 MP + 8 MP (rear camera) 24 MP (front camera),Under screen,Yes
Huawei Mate 30 Pro,HiSilicon Kirin 990,Octa-core2.86 GHz (2x2.86 GHz Cortex-A76 + 2x2.09 GHz or 2x2.36 GHz (5G) Cortex-A76 + 4x1.86 GHz or 2x1.95 GHz (5G) Cortex-A55),Mali-G76 MP16,128 or 256 GB,up to 256 GB,8 GB,Android 10,EMUI 10,158.1 x 73.1 x 8.8 mm,198g,4500 mAh,USB-C 40WWireless 27W,6.5" 2400x1176 OLED,Quad 2x 40 MP + 8 MP + ToF (rear camera) 32 MP + ToF (front camera),Under screen,Yes
Huawei Nova 5i,HiSilicon Kirin 710,Octa-core 2.2 GHz (4x 2.2 GHz Cortex-A73 + 4x 1.7 GHz Cortex-A53),Mali-G51 MP4,128 GB,microSD up to 512 GB,6/8 GB,Android 9.0 "Pie",EMUI 9.1,159.1 x 75.9 x 8.3 mm,178g,4000 mAh,USB-C 10W,6.4" 2310x1080 IPS LCD,Quad 24 MP + 8 MP + 2x 2 MP (rear camera) 24 MP (front camera),Rear-mounted,Yes
Huawei Nova 5,HiSilicon Kirin 810,Octa-core 2.7 GHz (2x 2.7 GHz Cortex-A76 + 6x 1.9 GHz Cortex-A55),Mali-G52 MP6,128 GB,up to 256 GB,8 GB,Android 9.0 "Pie",EMUI 9.1,157.4 x 74.8 x 7.3 mm,171g,3500 mAh,USB-C 40W,6.4" 2340x1080 OLED,Quad 48 MP + 8 MP + 2x 2 MP (rear camera) 32 MP (front camera),Under screen,Yes
Huawei Nova 5i Pro,HiSilicon Kirin 810,Octa-core 2.7 GHz (2x 2.7 GHz Cortex-A76 + 6x 1.9 GHz Cortex-A55),Mali-G52 MP6,128 or 256 GB,microSD up to 512 GB,6/8 GB,Android 9.0 "Pie",EMUI 9.1,156.1 x 73.9 x 8.3 mm,178g,4000 mAh,USB-C 20W,6.3" 2340x1080 OLED,Quad 48 MP + 8 MP + 2x 2 MP (rear camera) 32 MP (front camera),Rear-mounted,Yes
Huawei Nova 5 Pro,HiSilicon Kirin 980,Octa-core 2.6 GHz (2x 2.6 GHz Cortex-A76 + 2x 1.92 GHz Cortex-A76 + 4x 1.8 GHz Cortex-A55),Mali-G76 MP10,128 or 256 GB,up to 256 GB,8 GB,Android 9.0 "Pie",EMUI 9.1,157.4 x 74.8 x 7.3 mm,171g,3500 mAh,USB-C 40W,6.4” 2340x1080 OLED,Quad 48 MP + 16 MP + 2x 2 MP (rear camera) 32 MP (front camera),Under screen,Yes
Honor 20,HiSilicon Kirin 980,Octa-core 2.6 GHz (2x 2.6 GHz Cortex-A76 + 2x 1.92 GHz Cortex-A76 + 4x 1.8 GHz Cortex-A55),Mali-G76 MP10,128 GB,No,6/8 GB,Android 9.0 "Pie",Magic 2.1,154.3 x 74 x 7.9 mm,174g,3750 mAh,USB-C 22.5W,6.3" 2340x1080 IPS LCD,Quad 48 MP + 16 MP + 2x 2 MP (rear) 32 MP (front),Side-mounted,Yes
Honor 20 Pro,HiSilicon Kirin 980,Octa-core 2.6 GHz (2x 2.6 GHz Cortex-A76 + 2x 1.92 GHz Cortex-A76 + 4x 1.8 GHz Cortex-A55),Mali-G76 MP10,128 or 256 GB,No,8 GB,Android 9.0 "Pie",Magic 2.1,154.6 x 74 x 8.4 mm,182g,4000 mAh,USB-C 22.5W,6.3" 2340x1080 IPS LCD,Quad 48 MP + 16 MP + 8 MP + 2 MP (rear) 32 MP (front),Side-mounted,Yes
Honor 20S,HiSilicon Kirin 810,Octa-core 2.3 GHz (2x 2.3 GHz Cortex-A76 + 6x 1.9 GHz Cortex-A55),Mali-G52 MP6,128 GB,No,6/8 GB,Android 9.0 "Pie",Magic 2.1,154.3 x 74 x 7.9 mm,172g,3750 mAh,USB-C 20W,6.3" 2340x1080 IPS LCD,Triple 48 MP + 8 MP + 2 MP (rear) 32 MP (front),Side-mounted,Yes
Honor V30,HiSilicon Kirin 990,Octa-core2.86 GHz (2x2.86 GHz Cortex-A76 + 2x2.09 GHz or 2x2.36 GHz (5G) Cortex-A76 + 4x1.86 GHz or 2x1.95 GHz (5G) Cortex-A55),Mali-G76 MP16,128 GB,No,6/8 GB,Android 10,Magic UI 3,162.7 x 75.8 x 8.9 mm,213g,4200mAh,USB-C 40W,6.6" 2400x1080 IPS LCD,Triple 40 MP + 2x 8 MP (rear) Dual 32 MP + 8 MP (front),Side-mounted,Yes
Honor V30 Pro,HiSilicon Kirin 990,Octa-core2.86 GHz (2x2.86 GHz Cortex-A76 + 2x2.09 GHz or 2x2.36 GHz (5G) Cortex-A76 + 4x1.86 GHz or 2x1.95 GHz (5G) Cortex-A55),Mali-G76 MP16,128 or 256 GB,No,8 GB,Android 10,Magic UI 3,162.7 x 75.8 x 8.9 mm,206g,4100mAh,USB-C 40W,6.6" 2400x1080 IPS LCD,Triple 40 MP + 12 MP + 8 MP (rear) Dual 32 MP + 8 MP (rear),Side-mounted,Yes
Huawei Nova 6,HiSilicon Kirin 990,Octa-core2.86 GHz (2x2.86 GHz Cortex-A76 + 2x2.09 GHz or 2x2.36 GHz (5G) Cortex-A76 + 4x1.86 GHz or 2x1.95 GHz (5G) Cortex-A55),Mali-G76 MP16,128 GB,No,8 GB,Android 10,EMUI 10,162.6 x 75.7 x 8.6 mm,197g,4100mAh,USB-C 40W,6.6" 2400x1080 IPS LCD,Triple 40 MP + 2x 8 MP (rear) Dual 32 MP + 8 MP (front),Side-mounted,Yes
Huawei Nova 6 5G,HiSilicon Kirin 990,Octa-core2.86 GHz (2x2.86 GHz Cortex-A76 + 2x2.09 GHz or 2x2.36 GHz (5G) Cortex-A76 + 4x1.86 GHz or 2x1.95 GHz (5G) Cortex-A55),Mali-G76 MP16,128 or 256 GB,No,8 GB,Android 10,EMUI 10,162.7 x 75.8 x 9 mm,212g,4200 mAh,USB-C 40W,6.6" 2400x1080 IPS LCD,Triple 40 MP + 2x 8 MP (rear) Dual 32 MP + 8 MP (front),Side-mounted,Yes
Apple iPhone 11,Apple A13,Hexa-core2.65 GHz (2x2.65 GHz Lightning + 4x? GHz Thunder),Apple-designed GPU,64/128/256 GB,No,4 GB,iOS 13,-,150.9 x 75.7 x 8.3 mm,194g,3110 mAh,Lightning 18WWireless,6.1" 1792x828 IPS LCD,Dual 12 MP (rear camera) 12 MP (front camera),No,Face ID
Apple iPhone 11 Pro,Apple A13,Hexa-core2.65 GHz (2x2.65 GHz Lightning + 4x? GHz Thunder),Apple-designed GPU,64/256/512 GB,No,4 GB,iOS 13,-,144 x 71.4 x 8.1 mm,188g,3046 mAh,Lightning 18WWireless,5.8" 2436x1125 OLED,Triple 12 MP (rear camera) 12 MP (front camera),No,Face ID
Apple iPhone 11 Pro Max,Apple A13,Hexa-core2.65 GHz (2x2.65 GHz Lightning + 4x? GHz Thunder),Apple-designed GPU,64/256/512 GB,No,4 GB,iOS 13,-,158 x 77.8 x 8.1 mm,226g,3969 mAh,Lightning 18WWireless,6.5" 2688x1242 OLED,Triple 12 MP (rear camera) 12 MP (front camera),No,Face ID
LG G8 ThinQ,Snapdragon 855,Octa-core 2.84 GHz (1x2.84 GHz + 3x2.42 GHz + 4x1.8 GHz Kryo 485),Adreno 640,128 GB,microSD up to 1 TB,6 GB,Android 9.0 "Pie",LG UX,151.9 x 71.8 x 8.4 mm,167g,3500 mAh,USB-C 21W  Wireless 9W,6.1" 3120x1440 P-OLED,Dual/Triple (market dependent) 12 MP + 16 MP + 12 MP (rear camera) Dual 8 MP + ToF (front camera),Rear-mounted,Yes
